Player;Pos;Comp;Shots;PasTotPrgDist;Assists;SCA;Tkl+Int;ToAtt
musa barrow;FWMF;Serie A;3.29;119.4;0.12;3.41;0.82;2.94
federico baschirotto;DF;Serie A;0.55;230.5;0.0;0.32;2.09;0.14
alessandro bastoni;DF;Serie A;0.71;418.8;0.14;2.41;2.98;0.57
simone bastoni;MFDF;Serie A;1.9;165.6;0.19;2.48;4.19;1.52
rodrigo battaglia;MF;La Liga;0.27;115.5;0.0;0.55;2.33;0.41
maximilian bauer;DF;Bundesliga;0.69;223.4;0.0;0.95;3.02;0.17
christoph baumgartner;MFFW;Bundesliga;2.53;109.6;0.17;3.6;1.97;3.6
cyrille bayala;MF;Ligue 1;1.06;105.3;0.07;1.84;3.9;2.55
rodrigo becao;DF;Serie A;0.61;324.3;0.07;1.22;3.81;0.41
sheraldo becker;FW;Bundesliga;2.1;53.0;0.25;3.09;0.56;1.23
kevin behrens;FW;Bundesliga;1.43;70.7;0.12;2.5;0.95;0.71
jeremie bela;DFMF;Ligue 1;1.27;122.4;0.14;1.27;1.83;3.38
youcef belaili;MFFW;Ligue 1;2.2;161.94;0.39;3.78;1.73;4.02
haris belkebla;MF;Ligue 1;0.42;172.5;0.0;1.69;4.4;1.14
stefan bell;DF;Bundesliga;0.24;361.8;0.0;0.79;3.46;0.31
armel bella kotchap;DF;Premier League;0.88;165.4;0.09;0.79;4.04;0.53
jean-ricner bellegarde;MF;Ligue 1;1.19;208.9;0.28;3.56;2.94;4.07
jude bellingham;MF;Bundesliga;2.07;254.6;0.21;3.88;4.2;4.95
fran beltran;MF;La Liga;0.89;215.9;0.06;2.18;2.07;0.39
wissam ben yedder;FW;Ligue 1;2.46;57.2;0.24;2.46;0.87;2.54
ismael bennacer;MF;Serie A;0.45;283.6;0.06;4.39;4.2;2.29
said benrahma;FWMF;Premier League;2.86;87.7;0.08;4.51;1.5;5.94
ramy bensebaini;DF;Bundesliga;1.4;266.4;0.0;1.28;2.74;1.17
nabil bentaleb;MF;Ligue 1;1.18;363.6;0.18;2.49;4.97;3.31
rodrigo bentancur;MF;Premier League;0.9;189.5;0.12;2.04;3.89;1.98
karim benzema;FW;La Liga;4.05;95.5;0.26;4.66;0.6;1.72
domenico berardi;FW;Serie A;4.31;151.5;0.29;4.51;2.16;1.67
yuri berchiche;DF;La Liga;1.24;306.1;0.1;2.1;3.52;1.05
alex berenguer;FW;La Liga;1.97;95.1;0.07;2.96;2.5;2.37
bartosz bereszy?ski;DF;Serie A;0.23;242.0;0.0;0.6;3.68;1.13
mitchell van bergen;FWDF;Ligue 1;2.43;75.0;0.14;2.71;2.29;3.14
mergim berisha;FW;Bundesliga;2.91;70.2;0.31;2.44;0.55;1.97
quentin bernard;DF;Ligue 1;0.0;425.1;0.14;1.57;3.43;0.57
juan bernat;DF;Ligue 1;0.45;153.8;0.18;2.0;2.45;2.0
beto;FW;Serie A;2.31;12.5;0.07;1.87;1.12;2.46
matteo bianchetti;DF;Serie A;0.43;243.5;0.0;0.72;2.03;0.14
pedro bigas;DF;La Liga;0.85;327.4;0.0;0.63;3.17;0.42
jaka bijol;DF;Serie A;0.65;266.6;0.0;0.45;2.01;0.13
el bilal toure;FW;La Liga;2.19;24.49;0.17;2.63;0.26;1.14
philip billing;MFFW;Premier League;1.16;89.2;0.06;1.68;3.24;1.39
cristiano biraghi;DF;Serie A;0.78;370.2;0.11;4.89;2.44;0.72
samuele birindelli;DF;Serie A;1.22;183.7;0.1;2.65;3.27;1.53
yves bissouma;MF;Premier League;0.56;197.1;0.0;2.78;2.33;0.78
leonardo bittencourt;MFDF;Bundesliga;1.35;96.5;0.0;2.08;3.13;2.71
ludovic blas;MFFW;Ligue 1;3.3;127.4;0.05;4.27;2.32;4.81
miha bla?i?;DF;Ligue 1;0.3;344.4;0.0;0.24;1.15;0.0
alexis blin;MFDF;Serie A;0.36;159.4;0.0;1.22;3.88;0.5
jean-paul boetius;MF;Bundesliga;0.6;168.1;0.0;2.17;3.37;1.2
willy boly;DF;Premier League;0.15;238.0;0.15;0.76;3.79;0.3
giacomo bonaventura;MF;Serie A;2.36;129.5;0.0;3.18;2.77;2.16
federico bonazzoli;FW;Serie A;2.8;75.6;0.1;2.2;0.6;2.0
theo bongonda;MF;La Liga;2.11;47.6;0.22;1.33;1.56;4.11
leonardo bonucci;DF;Serie A;0.3;367.2;0.0;0.9;1.64;0.15
neto borges;DF;Ligue 1;0.84;227.9;0.0;2.58;4.11;3.0
sebastiaan bornauw;DF;Bundesliga;0.16;321.4;0.0;0.16;2.38;0.16
sven botman;DF;Premier League;0.59;336.5;0.0;0.75;2.25;0.0
hicham boudaoui;MF;Ligue 1;0.47;154.0;0.12;2.44;5.7;2.56
sofiane boufal;FWMF;Ligue 1;2.26;169.2;0.32;5.59;2.04;8.28
mehdi bourabia;MF;Serie A;0.76;184.1;0.11;2.54;3.03;2.16
benjamin bourigeaud;MFFW;Ligue 1;1.69;274.4;0.26;5.24;1.75;1.16
jarrod bowen;FWMF;Premier League;2.01;81.3;0.05;2.97;2.05;2.51
lucas boye;FW;La Liga;2.0;51.0;0.15;2.37;2.0;3.7
domagoj bradari?;DF;Serie A;0.36;164.9;0.09;1.8;1.44;2.43
martin braithwaite;FWMF;La Liga;2.12;32.6;0.08;1.67;0.83;2.12
juan brandariz;DF;La Liga;0.25;237.6;0.0;0.38;2.63;0.25
julian brandt;MFFW;Bundesliga;1.33;151.7;0.24;5.0;1.69;2.95
darko braanac;MF;La Liga;0.72;109.4;0.12;1.57;3.25;0.96
lilian brassier;DF;Ligue 1;0.38;332.9;0.0;0.98;3.26;1.3
gleison bremer;DF;Serie A;0.97;306.7;0.0;0.86;2.57;0.29
dylan bronn;DF;Serie A;0.5;330.7;0.0;0.86;3.09;0.5
marcelo brozovi?;MF;Serie A;1.55;277.0;0.0;1.97;3.1;1.27
